"Ticker","Nome","Negócios","Última (R$)","Variação"
"AFLT3","Afluente T","1.800","7,26","+2,40%"
"PINE11","Banco Pine","800","12,07","-3,44%"
"CRPG6","Tronox Pigmentos","500","14,99","+1,28%"
"CTSA3","Santanense","500","2,71","-5,90%"
"MOAR3","Monteiro Aranha","200","119,97","+6,17%"
"JOPA3","Josapar","200","20,12","-1,90%"
"ENMT4","Energisa MT","100","53,00","+0,00%"
"HBTS5","Habitasul","100","30,00","-5,93%"
"WLMM3","WLM","100","22,80","-3,06%"
"MNDL3","Mundial","1.700","18,83","-0,89%"
"CLSC3","Celesc","100","97,00","+4,30%"
"ELET5","Eletrobras","100","78,75","-4,55%"
"RPAD6","Alfa Holdings","500","4,15","+2,72%"
"DTCY3","Dtcom","300","2,80","-3,45%"
"NORD3","Nordon","200","5,33","+0,38%"
"RPAD3","Alfa Holdings","200","4,93","+0,41%"
"ADMF3","REAG TRUST S.A","100","70,00","-1,41%"
"MSPA3","Melhoramentos","100","46,00","-1,08%"
"RPAD5","Alfa Holdings","100","7,10","+1,43%"
"COCE3","Coelce","300","37,50","+1,35%"
"BGIP3","Banese","300","37,00","-13,95%"
"IGTI4","Iguatemi","200","10,49","+0,87%"
"IGTI4","Jereissati Participações","200","10,49","+0,87%"
"CTKA3","Karsten","100","35,00","+6,06%"
"BMIN3","Banco Mercantil de Investimentos","100","22,99","+0,04%"
"GPAR3","CELGPAR","100","15,05","-34,28%"
"BDLL3","Bardella","300","7,55","+1,34%"
"SOND5","Sondotécnica","100","54,98","-8,26%"
"CALI3","Adolpho Lindenberg","100","17,05","+5,90%"
"MSPA4","Melhoramentos","100","40,00","+0,00%"
"CEED3","CEEE D","100","9,00","+0,11%"
"CBEE3","Ampla Energia","100","10,65","-14,80%"
